timestamp,st_id,temp_c,hum_pct,wind_speed
2024-01-18 01:00:00,ST004,34.7,30.8,11.2
2024-10-15 00:00:00,ST019,6.3,18.0,18.6
2024-10-13 09:00:00,ST018,72.3,60.1,64.8
2024-05-26 23:00:00,ST005,43.3,38.6,7.4
2024-11-09 15:00:00,ST002,26.4,92.7,30.3
2024-05-11 06:00:00,ST012,33.2,13.9,18.2
2024-09-16 11:00:00,ST004,16.1,64.0,29.2
2024-04-26 19:00:00,ST003,26.4,30.8,37.0
2024-08-09 09:00:00,ST008,65.4,76.0,18.3
2024-08-02 19:00:00,ST019,13.5,52.4,70.8
2024-06-28 08:00:00,ST018,34.9,46.4,46.7
2024-03-03 01:00:00,ST016,35.2,83.2,12.2
2024-09-17 12:00:00,ST013,28.8,49.8,20.1
2024-07-01 03:00:00,ST004,,38.9,23.5
2024-12-07 17:00:00,ST009,35.5,53.2,8.5
2024-04-14 08:00:00,ST007,20.0,23.7,76.3
2024-01-14 07:00:00,ST016,9.5,40.9,78.8
2024-02-23 18:00:00,ST019,8.4,51.3,5.5
2024-04-22 17:00:00,ST016,15.6,84.2,33.9
2024-07-31 19:00:00,ST007,21.0,67.1,29.9
2024-08-18 19:00:00,ST003,70.9,57.1,47.1
2024-08-13 13:00:00,ST002,7.8,30.2,53.5
2024-11-18 16:00:00,ST019,14.7,50.2,32.6
2024-11-14 19:00:00,ST014,39.6,14.6,52.3
2024-06-18 17:00:00,ST004,12.7,55.6,11.2
2024-10-29 12:00:00,ST003,37.3,,7.8
2024-06-10 08:00:00,ST003,11.7,51.3,17.1
2024-06-30 01:00:00,ST013,42.1,76.7,22.8
2024-04-15 16:00:00,ST016,12.6,28.5,4.7
2024-11-21 11:00:00,ST002,25.1,82.5,12.6
2024-02-16 09:00:00,ST020,32.0,30.0,9.6
2024-02-25 23:00:00,ST020,21.8,59.6,41.8
2024-06-30 07:00:00,ST008,20.8,67.1,24.0
2024-03-09 06:00:00,ST015,7.9,28.1,21.2
2024-07-13 13:00:00,ST012,11.3,80.9,56.3
2024-07-23 09:00:00,ST001,42.3,18.8,70.3
2024-07-04 22:00:00,ST005,16.3,27.9,27.4
2024-02-04 16:00:00,ST009,71.8,46.0,22.1
2024-10-18 23:00:00,ST015,27.4,19.5,75.6
2024-04-11 02:00:00,ST012,22.2,13.6,29.2
2024-05-23 09:00:00,ST012,32.3,66.7,28.3
2024-06-10 14:00:00,ST005,,93.0,64.9
2024-10-08 01:00:00,ST011,37.1,83.4,64.9
2024-11-17 07:00:00,ST002,13.9,79.4,36.8
2024-05-11 20:00:00,ST001,20.9,33.7,5.6
2024-08-14 01:00:00,ST018,42.6,19.8,77.6
2024-10-23 15:00:00,ST004,18.8,76.8,34.9
2024-06-22 21:00:00,ST007,6.8,47.1,41.6
2024-09-05 15:00:00,ST007,22.3,90.7,73.7
2024-12-12 04:00:00,ST010,17.4,44.7,32.2
2024-04-28 19:00:00,ST013,65.0,35.6,43.8
2024-11-13 10:00:00,ST011,22.7,67.4,40.9
2024-07-12 17:00:00,ST003,25.6,63.8,26.8
2024-05-15 22:00:00,ST008,10.9,13.9,78.7
2024-05-12 17:00:00,ST019,33.7,42.6,32.0
2024-10-17 05:00:00,ST004,13.8,78.3,55.7
2024-11-07 14:00:00,ST004,10.3,49.5,42.5
2024-12-10 14:00:00,ST015,22.1,87.1,35.7
2024-07-08 07:00:00,ST008,35.6,54.3,50.1
2024-08-17 06:00:00,ST009,17.8,55.9,11.1
2024-10-10 05:00:00,ST003,21.3,56.1,33.3
2024-01-14 08:00:00,ST019,65.9,75.1,30.4
2024-05-30 13:00:00,ST014,24.5,33.2,38.9
